"","estimate","se","lcl","ucl"
"S:(Intercept)",2.8081571,0.2586394,2.3012239,3.3150903
"S:time3",-0.9028217,0.3176414,-1.5253989,-0.2802445
"S:time4",-0.1573382,0.3721984,-0.8868471,0.5721707
"S:time5",-0.094468,0.3861872,-0.851395,0.6624589
"S:time6",-1.1073782,0.326509,-1.7473358,-0.4674206
"S:time7",-1.1454921,0.3361821,-1.804409,-0.4865752
"S:time8",-1.1033919,0.3515994,-1.7925268,-0.414257
"S:time9",-1.1208801,0.3650182,-1.8363159,-0.4054444
"S:CT",-0.322278,0.0840615,-0.4870387,-0.1575174
