ID,ch,Study Area,AgeClass,Sex,DS,CS,CT
83,1010101011000000,B,Adult,Male,-0.538916152,-1.45942141,1.371994399
84,1010110000000000,B,Juvenile,Male,-0.304862258,-1.04327448,1.942750967
85,1010101010101100,B,Adult,Male,0.411291968,-0.783397293,0.29821577
86,1010101010101010,B,Juvenile,Male,-1.417604349,-0.21069746,-0.323610253
87,1010101010101010,B,Adult,Male,2.205616391,-0.486612516,1.08417233
88,1010110000000000,B,Adult,Male,0.138059809,-0.483827655,0.141431735
89,1011000000000000,B,Adult,Female,1.358337308,-0.820045982,0.549610517
90,1011000000000000,B,Juvenile,Male,0.763623166,0.006971292,-0.871122572
91,1010101010101010,B,Juvenile,Male,-0.725417198,1.722166898,-0.566547414
92,1010101100000000,B,Adult,Male,0.127427134,0.310086935,-0.289322475
93,1010101010101010,B,Adult,Male,1.771562379,-1.648738629,1.428494292
94,1010101010101010,B,Juvenile,Male,1.361679312,1.247418879,-0.607016888
95,1010101010101100,B,Juvenile,Male,0.109326719,0.312037222,-1.152058708
96,1010101010101100,B,Adult,Female,-1.90359745,0.152168928,0.561083737
97,1010101010101010,B,Juvenile,Female,0.653408299,0.364868426,-1.684142002
98,1010101010110000,B,Juvenile,Male,-0.648714219,-0.648492418,-1.224934778
99,1100000000000000,B,Juvenile,Male,0.498171096,-1.333209481,-0.909013576
100,1010101010110000,B,Juvenile,Male,0.776009255,-1.158911423,-1.748667023
101,1010101010101010,B,Adult,Female,0.31844803,0.277644648,-1.120266701
102,1010101010101011,B,Juvenile,Male,-0.829704882,-1.409919747,0.519441262
103,1010101010101010,B,Juvenile,Male,0.236014944,0.87889723,-1.124506845
104,1010101011000000,B,Juvenile,Female,0.366477986,-0.082889407,-2.00330714
105,1010101010101011,B,Juvenile,Female,-0.72326355,0.956924917,-0.500112053
106,1010101011000000,B,Adult,Female,-0.414581607,0.517833246,1.987627234
107,1010101010101010,B,Adult,Female,2.118935721,-0.718117253,-0.422980881
108,1010101010101010,B,Adult,Male,-1.710708672,-1.143702913,0.99582793
109,1010101010101010,B,Adult,Male,0.655540298,-0.872476165,0.419301102
110,1010110000000000,B,Adult,Female,-0.159266854,0.582836714,0.92064064
111,1011000000000000,B,Adult,Female,-0.161898216,-0.302782195,-0.054504621
112,1010101011000000,B,Juvenile,Female,-1.939225055,1.170606034,-1.919872044
113,1010110000000000,B,Adult,Male,0.457079547,1.082529677,3.146767651
114,1010101010101010,B,Juvenile,Male,1.299816473,1.510214802,0.454275988
115,1010101010101010,B,Adult,Male,0.705414309,-0.623216258,0.189205446
116,1010101010101010,B,Juvenile,Female,-1.566737505,-0.212992723,-0.416039618
117,1010101010101010,B,Juvenile,Female,1.546649489,2.118869296,-0.64062018
118,1010101010101010,B,Juvenile,Female,-1.442545453,0.902202536,-0.136111716
119,1010101010101010,B,Juvenile,Male,0.917791522,0.397002845,-0.715599229
120,1011000000000000,B,Juvenile,Male,-1.628700691,0.028134907,0.955616178
121,1010101010101010,B,Adult,Male,1.458388624,0.222900312,-1.353299808
122,1100000000000000,B,Juvenile,Female,0.720314377,1.041659012,-0.863737827
123,1010101010101100,B,Adult,Male,-0.056710193,1.048318148,-0.065492208
124,1010101010101010,B,Adult,Female,-1.245006059,-1.423310252,-0.550523827
125,1011000000000000,B,Juvenile,Male,-0.045817373,-0.821960621,1.034040188
126,1010101010101010,B,Juvenile,Male,0.199134866,-0.318363884,1.127828782
127,1010101010101100,B,Juvenile,Female,0.526787771,-1.225441882,-0.246494393
128,1010101010110000,B,Adult,Male,0.330032007,0.421227769,-0.129136878
129,1011000000000000,B,Juvenile,Male,-0.814111724,0.383316446,-0.754013389
130,1010101010110000,B,Juvenile,Male,-0.516444521,-1.036141969,0.899653707
131,1010110000000000,B,Juvenile,Male,-1.431406648,-0.213585529,0.964637112
132,1010101010101010,B,Juvenile,Male,-0.403418714,-1.27072029,-1.830060956
133,1010101011000000,B,Juvenile,Male,0.279658848,0.055587984,-1.762820927
134,1010101010101100,B,Adult,Male,-0.572836271,-0.719594533,-1.485920448
135,1010101010101010,B,Juvenile,Male,-0.335248004,-0.971038731,-0.411355099
136,1010101010110000,B,Adult,Female,-1.34937197,-0.125304383,1.213900273
137,1010101010101010,B,Adult,Female,0.741257914,1.241216384,-0.503562788
138,1010101011000000,B,Adult,Male,-0.501605806,0.391973616,-0.129774794
139,1010101010110000,B,Adult,Male,-1.598402611,1.311096019,0.273715197
140,1010101010101010,B,Juvenile,Female,-0.925579782,-0.470391982,0.53633959
141,1010101010101010,B,Juvenile,Female,-1.26113057,-0.597643093,1.169844039
142,1010101010101010,B,Adult,Female,-0.245516167,-1.604942724,0.433004758
143,1010101010110000,B,Adult,Female,0.118924209,0.304313519,0.992667311
144,1010101010110000,B,Adult,Male,-0.075722736,1.038223038,1.260788783
145,1011000000000000,B,Adult,Male,-0.156769712,0.584685837,-0.236184839
146,1010101010101100,B,Juvenile,Female,-0.516747074,-0.66050466,-0.72564139
147,1010101010101100,B,Juvenile,Female,0.9133976,-1.112682328,1.356284287
148,1010101010101011,B,Adult,Male,0.256970434,0.962536849,-1.181265796
149,1010101010101010,B,Adult,Male,-1.625382616,0.275006717,0.261751501
150,1010101010101010,B,Juvenile,Female,0.949623215,-1.182969018,-0.465228766
151,1010101010101010,B,Adult,Male,0.088582395,-2.184013091,0.651108954
152,1010101011000000,B,Juvenile,Female,0.218376591,-0.006249003,0.10619645
153,1010101100000000,B,Adult,Male,0.613791001,2.798482931,1.441434819
154,1010101010110000,B,Juvenile,Male,-0.661972264,1.083074504,-0.052831363
155,1011000000000000,B,Juvenile,Male,0.469312779,1.079984396,0.942371038
156,1010101010101010,B,Adult,Female,-1.025175761,-0.310621853,-0.888647376
157,1010101010101010,B,Adult,Female,1.047459991,-0.605220468,-1.834293505
158,1010101010101011,B,Adult,Male,-0.168993633,-0.590801169,-0.598111251
159,1010110000000000,B,Adult,Male,-0.274848334,0.117052515,0.511140365
